Код клиента,ABC
7917726.0,C
8078693.0,C
9696861.0,C
9615187.0,C
155506368.0,B
9100589.0,C
7744108.0,A
8087000.0,C
5837654.0,C
5537158.0,B
5753467.0,A
9573664.0,C
156404299.0,C
5154877.0,C
157444438.0,C
1778534.0,B
6543150.0,C
1550041.0,C
6867866.0,C
156386040.0,B
4878620.0,B
5566539.0,C
5679090.0,C
9150348.0,C
156041238.0,C
7966028.0,B
156488695.0,B
9329801.0,C
156967773.0,C
156791768.0,C
155275628.0,B
155468717.0,C
157434149.0,C
5520317.0,C
8126916.0,B
156462125.0,B
9700281.0,C
8045466.0,C
7720173.0,C
9244605.0,C
5307720.0,C
5569432.0,C
156594025.0,D
156104177.0,C
8823563.0,B
5823257.0,C
6826003.0,C
6180387.0,C
156429649.0,C
6748440.0,C
5352517.0,C
9146907.0,B
155545696.0,D
6104631.0,D
8486992.0,B
155395407.0,B
8377852.0,C
156886175.0,C
7132554.0,C
8438989.0,C
9596041.0,C
7814893.0,C
156640209.0,C
8594185.0,D
156901156.0,C
8362205.0,C
7141168.0,C
155099176.0,C
5519429.0,C
1385159.0,C
157322212.0,C
7568596.0,C
1375599.0,C
2969748.0,C
7075884.0,C
5001985.0,C
155159957.0,C
157379139.0,C
7165046.0,C
4093299.0,C
3448331.0,B
7680291.0,C
6177132.0,C
155178920.0,C
5185211.0,C
5114143.0,C
10323192.0,C
8516198.0,C
156156113.0,C
155287309.0,C
156433434.0,C
2333228.0,C
157404333.0,C
9985085.0,C
7190591.0,C
155811904.0,D
4444802.0,B
7306845.0,C
7680899.0,C
155249828.0,B
157351610.0,C
4728887.0,C
9271451.0,B
8629676.0,C
4597472.0,B
5460768.0,C
156704933.0,C
4609438.0,C
3949685.0,C
5091878.0,C
155309272.0,B
9992311.0,C
156682979.0,B
156736542.0,C
5459331.0,C
5772250.0,C
5766869.0,C
156149136.0,C
5072090.0,D
6371449.0,C
157381098.0,D
155408835.0,C
7585380.0,C
10442433.0,C
7273228.0,C
5325688.0,C
157375557.0,C
10406130.0,D
156161319.0,D
8721793.0,C
1385294.0,C
5645535.0,B
10327363.0,B
157367530.0,C
4675582.0,C
8044524.0,C
1424137.0,C
2199632.0,C
4096610.0,C
9476004.0,C
9180282.0,C
8773201.0,C
9282611.0,C
156292697.0,C
8948019.0,C
8871318.0,B
6810682.0,B
155195957.0,C
7691463.0,D
155327014.0,C
6036486.0,B
6119101.0,C
157353989.0,C
6021218.0,C
6809469.0,C
155002032.0,C
4821817.0,C
10041903.0,B
156060487.0,C
4901731.0,C
155382033.0,C
155385232.0,D
155116773.0,C
4658651.0,C
156082679.0,D
155283993.0,C
7289244.0,C
157342702.0,C
9710808.0,C
5381952.0,C
9901478.0,C
9304926.0,B
8751227.0,C
156612455.0,C
155256249.0,C
6626284.0,C
157293302.0,C
3545859.0,B
155583534.0,C
5402148.0,B
5476751.0,C
156210099.0,B
10047108.0,C
157325741.0,C
8539146.0,D
157324545.0,C
156409790.0,D
157323162.0,C
156808627.0,C
157161233.0,C
9796263.0,C
155953370.0,C
9458119.0,B
7162643.0,C
4753972.0,C
9038308.0,B
9776481.0,C
155914623.0,C
156263615.0,C
3426866.0,C
7670590.0,D
1385341.0,C
155346036.0,C
9975766.0,C
157307421.0,C
5471875.0,C
5559100.0,C
5236255.0,C
8374789.0,C
7275987.0,C
8134839.0,C
9564394.0,C
8205854.0,C
6478038.0,C
9775964.0,C
4765180.0,C
7850093.0,C
8947909.0,C
7922537.0,C
5672126.0,C
6299139.0,C
5515493.0,C
6312256.0,C
7757063.0,C
7459552.0,B
156340359.0,C
7720089.0,D
155594925.0,D
9184149.0,D
156645841.0,C
5565594.0,C
155240459.0,C
8744175.0,C
156525977.0,C
155160351.0,C
155809066.0,C
5384725.0,C
156494925.0,C
155128328.0,C
6013816.0,C
155228961.0,C
157249549.0,C
8826147.0,C
10449574.0,C
156171275.0,C
7211030.0,C
155509855.0,C
8204989.0,C
7227047.0,C
4890504.0,C
4893778.0,C
7396859.0,D
155253282.0,C
8210314.0,C
7479882.0,C
5916717.0,C
8822655.0,C
157141527.0,C
6879208.0,C
8622977.0,C
6103856.0,C
6584504.0,D
4487010.0,C
155390742.0,C
6532786.0,C
5767643.0,C
156932757.0,C
155824673.0,C
6460859.0,C
6251048.0,C
8506732.0,C
9578651.0,C
7699622.0,C
6458970.0,C
7875799.0,D
8926282.0,C
3461908.0,C
7668221.0,C
8665647.0,B
155875231.0,C
6202842.0,C
9920037.0,C
156529375.0,B
7466075.0,C
8852350.0,C
9802195.0,C
4116325.0,C
156469881.0,C
4934053.0,B
155317836.0,D
8997520.0,C
7355887.0,C
8217927.0,C
9722136.0,C
6729751.0,C
155762172.0,C
157125337.0,C
157128298.0,C
1377866.0,C
9191435.0,C
8914513.0,C
155187339.0,C
6811823.0,C
5517055.0,C
5925093.0,C
9930049.0,C
155278258.0,D
7954831.0,C
155198342.0,C
3039555.0,C
7040932.0,C
3438355.0,C
156521683.0,C
7744495.0,D
156995048.0,C
7025350.0,C
7805443.0,C
7068650.0,C
156200951.0,C
5198422.0,C
5463642.0,C
7260882.0,D
6593087.0,C
10389620.0,C
155381519.0,C
4646206.0,C
8847132.0,C
5693975.0,C
7037520.0,C
5081865.0,C
156064994.0,C
5307229.0,C
9248513.0,C
6377041.0,C
7340977.0,D
8089291.0,D
8589647.0,C
3437726.0,C
156995257.0,C
6281795.0,C
8873592.0,C
4933485.0,D
8649486.0,C
7063163.0,D
5623678.0,C
8483799.0,D
10179852.0,D
155080222.0,C
9026661.0,C
156678025.0,C
156968775.0,C
156968664.0,D
156962965.0,D
155614634.0,C
155203561.0,C
4968537.0,C
155466453.0,C
3774369.0,C
156953119.0,C
8357190.0,C
6009710.0,C
155915766.0,C
9204206.0,C
156717336.0,C
8721558.0,C
6897583.0,C
2762066.0,C
155382949.0,C
156005450.0,C
9301534.0,C
7240839.0,C
9053631.0,C
156419868.0,C
3032795.0,C
7431367.0,C
6893793.0,C
4666758.0,C
4936156.0,C
2430559.0,C
5653298.0,C
155439587.0,C
156476611.0,C
156067999.0,C
6196528.0,C
155060276.0,C
10277492.0,C
155231682.0,C
9752294.0,C
6919921.0,C
156878206.0,C
10092221.0,C
156222516.0,C
156396093.0,C
5494009.0,C
155682484.0,C
156263526.0,C
8110231.0,C
156848195.0,C
5792534.0,C
155041030.0,C
9400101.0,C
155902190.0,C
4810083.0,C
7237201.0,C
7737642.0,C
7289262.0,C
9021729.0,C
5742490.0,C
8317275.0,C
155166687.0,C
6560090.0,C
156490329.0,C
155870294.0,C
156802112.0,C
2397934.0,C
155462849.0,C
156752969.0,C
6487621.0,C
9442287.0,C
156436438.0,C
156741554.0,D
8537354.0,C
156575232.0,C
155908038.0,C
5935381.0,C
156727057.0,C
156725083.0,C
7825102.0,C
6676644.0,C
7114666.0,C
7311721.0,C
155089937.0,C
6009249.0,C
8550030.0,C
156525883.0,C
5687308.0,C
155908460.0,C
155754744.0,C
156682407.0,C
156578822.0,C
155950179.0,C
156672824.0,C
156665326.0,D
9829593.0,D
156656591.0,D
155277417.0,C
5976678.0,C
9193583.0,C
4854136.0,C
156652100.0,D
155503548.0,C
155783979.0,C
155238949.0,C
6990344.0,C
155427088.0,C
9592746.0,C
6294112.0,C
155210213.0,C
156608514.0,D
6746747.0,C
3446062.0,C
4754603.0,C
1558820.0,C
5476797.0,C
155598332.0,C
7821658.0,C
8959205.0,C
8385485.0,C
4738980.0,C
8047880.0,C
155510412.0,C
155090253.0,C
8869441.0,C
156077948.0,C
156539787.0,C
155409530.0,C
8208015.0,C
9837376.0,C
6754678.0,C
6635292.0,C
10348996.0,C
8559986.0,C
7065701.0,C
155181971.0,D
4861710.0,C
156488551.0,C
6221221.0,C
156481626.0,C
10136050.0,C
7589880.0,C
4636890.0,D
156322184.0,C
156468543.0,C
9582557.0,C
4101976.0,C
156458394.0,D
6618148.0,C
9678220.0,C
5672122.0,D
156125937.0,D
156425859.0,D
1378309.0,C
155778951.0,C
156434883.0,C
156433230.0,C
156433282.0,C
10157876.0,C
10306722.0,C
156421751.0,D
5520723.0,C
155926216.0,C
155455851.0,D
155002016.0,C
156400355.0,C
155499206.0,C
8608532.0,C
156392187.0,D
156389063.0,D
8825246.0,D
6888131.0,C
3508118.0,C
1516856.0,C
9942910.0,C
156329942.0,C
9458660.0,C
2434411.0,C
8657459.0,C
8173419.0,D
8365632.0,C
156342046.0,D
6744857.0,C
155663548.0,C
156335836.0,C
156330746.0,C
156329850.0,D
1615353.0,C
156142640.0,C
156194348.0,C
6932478.0,C
8053598.0,D
8171009.0,D
155856571.0,C
10336792.0,C
156316384.0,C
156316270.0,C
155795554.0,C
156282159.0,D
156309658.0,C
156265889.0,C
156053432.0,C
156287133.0,C
9771132.0,C
10113911.0,C
156224886.0,C
7436971.0,C
155205530.0,C
4947327.0,C
9468675.0,C
7566685.0,C
8090775.0,C
6046431.0,C
156172434.0,C
8332694.0,C
1958306.0,C
156163784.0,C
156162741.0,C
155383072.0,C
5398866.0,C
156149823.0,D
1871226.0,C
155097905.0,C
155636570.0,C
7863572.0,C
156140706.0,C
4586083.0,C
156124783.0,C
156130168.0,C
156127590.0,C
155080277.0,C
8404031.0,C
6667348.0,C
155601492.0,C
156114160.0,C
156041291.0,C
155678114.0,C
7033676.0,C
8302470.0,D
155331818.0,C
7780665.0,C
2513414.0,C
155276276.0,C
155789198.0,C
155389332.0,C
156029677.0,C
156050953.0,C
156052219.0,C
5581849.0,C
6369197.0,C
10254577.0,D
155268666.0,D
5598565.0,C
2075002.0,C
10404218.0,D
7235380.0,C
156027184.0,C
156027145.0,C
8236391.0,C
156016609.0,C
7533768.0,C
156009184.0,C
155975141.0,D
