Код клиента,Общая выручка,Общая прибыль,Количество заказов,Последняя покупка,Средняя прибыль на заказ,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Кумулятивная прибыль,Процент кумулятивной прибыли,ABC,CV,XYZ
5753467.0,41007.42,4942.51,670,2025-07-20 19:38:32,7.376880597014925,0,670,4942.51,4,4,4,12,Чемпионы,4942.51,0.09407733683920204,A,0.4543791119895529,Y
7744108.0,28145.27,3691.49,369,2025-07-21 09:55:23,10.004037940379403,0,369,3691.49,4,4,4,12,Чемпионы,8634.0,0.16434235363604127,A,0.5358960950553924,Z
156488695.0,21390.42,2583.12,140,2025-07-18 16:54:32,18.450857142857142,3,140,2583.12,4,4,4,12,Чемпионы,11217.119999999999,0.2135102967127532,B,0.5850082714305185,Z
9146907.0,8091.61,1032.27,83,2025-07-15 18:18:56,12.436987951807229,6,83,1032.27,4,4,4,12,Чемпионы,12249.39,0.23315885837454106,B,1.0322551056925344,Z
3545859.0,6733.82,978.03,50,2025-06-20 14:18:30,19.5606,31,50,978.03,3,4,4,11,Чемпионы,13227.42,0.2517749983011866,B,1.0589732134398278,Z
6810682.0,5715.78,917.02,73,2025-06-27 16:48:06,12.561917808219178,24,73,917.02,4,4,4,12,Чемпионы,14144.44,0.26922985411903727,B,0.9521403981490288,Z
7459552.0,5913.74,854.5500000000001,57,2025-06-08 00:06:57,14.992105263157896,43,57,854.5500000000001,3,4,4,11,Чемпионы,14998.99,0.2854956357150158,B,0.7879727632824168,Z
155506368.0,4535.81,522.75,78,2025-07-21 12:53:59,6.701923076923077,0,78,522.75,4,4,4,12,Чемпионы,15521.74,0.2954458285993383,B,0.8433786446905126,Z
5537158.0,4106.44,506.84999999999997,66,2025-07-20 20:26:28,7.679545454545454,0,66,506.84999999999997,4,4,4,12,Чемпионы,16028.59,0.3050933757316556,B,0.6914437703012875,Z
155395407.0,3484.23,436.8199999999999,18,2025-07-15 08:28:09,24.26777777777777,6,18,436.8199999999999,4,4,4,12,Чемпионы,16465.41,0.31340794915246817,B,1.0049890456474948,Z
8486992.0,2791.56,388.49000000000007,63,2025-07-15 11:23:16,6.166507936507937,6,63,388.49000000000007,4,4,4,12,Чемпионы,16853.9,0.320802593693129,B,0.71150003058213,Z
156682979.0,2663.15,387.84000000000003,34,2025-07-07 10:39:01,11.407058823529413,14,34,387.84000000000003,4,4,4,12,Чемпионы,17241.74,0.3281848659231733,B,1.0739483897341129,Z
4444802.0,2334.15,385.99999999999994,41,2025-07-09 11:44:31,9.414634146341463,12,41,385.99999999999994,4,4,4,12,Чемпионы,17627.74,0.3355321149970107,B,0.8170167950504159,Z
4878620.0,2498.51,370.61000000000007,93,2025-07-19 18:48:32,3.985053763440861,2,93,370.61000000000007,4,4,4,12,Чемпионы,17998.350000000002,0.3425864258240959,B,0.8924114132317288,Z
8871318.0,3494.31,369.9599999999999,38,2025-06-28 10:27:42,9.735789473684209,23,38,369.9599999999999,4,4,4,12,Чемпионы,18368.31,0.34962836434056443,B,0.9684486589793088,Z
8665647.0,2807.69,369.61999999999995,44,2025-05-20 18:41:19,8.400454545454544,62,44,369.61999999999995,3,4,4,11,Чемпионы,18737.93,0.35666383118686434,B,1.342558410294938,Z
8823563.0,2798.56,367.83,51,2025-07-16 08:29:17,7.21235294117647,5,51,367.83,4,4,4,12,Чемпионы,19105.760000000002,0.3636652265931587,B,0.7740397442244046,Z
4597472.0,3532.7999999999997,364.66999999999996,48,2025-07-08 12:30:08,7.597291666666666,13,48,364.66999999999996,4,4,4,12,Чемпионы,19470.43,0.37060647353553244,B,0.26390919328839224,Y
155275628.0,2547.72,364.41999999999996,40,2025-07-18 00:12:48,9.110499999999998,3,40,364.41999999999996,4,4,4,12,Чемпионы,19834.85,0.3775429618968998,B,0.9808961219547586,Z
3448331.0,1876.57,362.8299999999999,48,2025-07-10 21:32:09,7.558958333333332,10,48,362.8299999999999,4,4,4,12,Чемпионы,20197.68,0.38444918568306674,B,1.3877824785584174,Z
10041903.0,2015.2,357.48,32,2025-06-24 19:36:13,11.17125,26,32,357.48,3,4,4,11,Чемпионы,20555.16,0.39125357583569725,B,1.8796366375234475,Z
9271451.0,1973.21,354.83000000000004,41,2025-07-08 15:11:06,8.65439024390244,13,41,354.83000000000004,4,4,4,12,Чемпионы,20909.99,0.3980075250296603,B,0.7713384589968387,Z
10327363.0,2800.67,352.34999999999997,43,2025-07-01 11:04:27,8.194186046511627,20,43,352.34999999999997,4,4,4,12,Чемпионы,21262.34,0.40471426910004005,B,1.03104366726692,Z
155309272.0,3174.08,351.61,47,2025-07-07 11:28:45,7.481063829787234,14,47,351.61,4,4,4,12,Чемпионы,21613.95,0.411406927770641,B,0.7039082777583002,Z
8126916.0,2486.03,345.59999999999997,34,2025-07-17 16:08:58,10.16470588235294,4,34,345.59999999999997,4,4,4,12,Чемпионы,21959.55,0.4179851901538487,B,0.7362891114968394,Z
156210099.0,2497.31,330.06,15,2025-06-19 15:53:25,22.004,32,15,330.06,3,4,4,11,Чемпионы,22289.61,0.4242676591417005,B,1.1716108106607852,Z
6036486.0,2758.46,329.23999999999995,30,2025-06-26 22:13:39,10.974666666666666,24,30,329.23999999999995,4,4,4,12,Чемпионы,22618.850000000002,0.43053451998385134,B,0.8262992488360743,Z
7966028.0,2743.59,326.8200000000001,17,2025-07-18 18:36:26,19.224705882352946,3,17,326.8200000000001,4,4,4,12,Чемпионы,22945.670000000002,0.4367553177618605,B,1.1975173267739172,Z
1778534.0,3793.1600000000003,319.72,39,2025-07-20 12:52:12,8.19794871794872,1,39,319.72,4,4,4,12,Чемпионы,23265.390000000003,0.4428409718392887,B,0.9736507972195806,Z
156462125.0,2656.94,317.22,39,2025-07-17 12:58:34,8.133846153846154,4,39,317.22,4,4,4,12,Чемпионы,23582.610000000004,0.4488790401066532,B,0.686738843708218,Z
156529375.0,2847.54,300.07000000000005,23,2025-05-20 07:20:24,13.046521739130437,62,23,300.07000000000005,3,4,4,11,Чемпионы,23882.680000000004,0.45459066971698064,B,0.36916502263033507,Y
5402148.0,1862.8,292.24,49,2025-06-20 11:18:03,5.964081632653062,31,49,292.24,3,4,4,11,Чемпионы,24174.920000000006,0.4601532605701885,B,0.6426318983928073,Z
9038308.0,2716.36,282.37,42,2025-06-16 17:54:42,6.7230952380952385,35,42,282.37,3,4,4,11,Чемпионы,24457.290000000005,0.46552798264526485,B,0.6081915551300338,Z
4934053.0,2408.7599999999998,281.52999999999986,19,2025-05-19 10:45:21,14.817368421052624,63,19,281.52999999999986,3,4,4,11,Чемпионы,24738.820000000003,0.4708867158881597,B,1.3693879061465457,Z
9304926.0,1374.85,277.53,58,2025-06-22 19:26:30,4.784999999999999,28,58,277.53,3,4,4,11,Чемпионы,25016.350000000002,0.47616931183495265,B,0.9230085839874586,Z
5645535.0,2310.58,260.67999999999995,31,2025-07-01 12:23:23,8.409032258064515,20,31,260.67999999999995,4,4,4,12,Чемпионы,25277.030000000002,0.48113117942191624,B,0.7796394973991086,Z
156386040.0,1471.57,259.12,17,2025-07-19 20:19:25,15.24235294117647,1,17,259.12,4,4,4,12,Чемпионы,25536.15,0.4860633534634,B,1.1382070353118754,Z
155249828.0,1952.66,253.54,35,2025-07-09 09:02:31,7.244,12,35,253.54,4,4,4,12,Чемпионы,25789.690000000002,0.49088931597682156,B,1.3185764583507213,Z
9458119.0,1512.23,251.85000000000002,22,2025-06-17 12:57:04,11.447727272727274,34,22,251.85000000000002,3,4,4,11,Чемпионы,26041.54,0.4956831104826401,B,0.9611821550650256,Z
6543150.0,1957.71,240.03000000000003,36,2025-07-20 12:48:38,6.6675,1,36,240.03000000000003,4,4,4,12,Чемпионы,26281.57,0.5002519192784773,C,1.4321322130367407,Z
5307720.0,1938.61,237.59000000000003,42,2025-07-16 18:18:00,5.656904761904762,5,42,237.59000000000003,4,4,4,12,Чемпионы,26519.16,0.5047742843236924,C,0.8638419259087843,Z
8045466.0,2105.75,228.78,33,2025-07-17 07:27:58,6.932727272727273,4,33,228.78,4,4,4,12,Чемпионы,26747.94,0.509128956974243,C,0.47071990161478605,Y
5772250.0,1823.47,226.32000000000005,15,2025-07-05 12:55:23,15.088000000000003,16,15,226.32000000000005,4,4,4,12,Чемпионы,26974.26,0.5134368051876907,C,0.9963316737158077,Z
