Код клиента,RFM_Segment
5753467.0,Чемпионы
7744108.0,Чемпионы
156488695.0,Чемпионы
9146907.0,Чемпионы
3545859.0,Чемпионы
6810682.0,Чемпионы
7459552.0,Чемпионы
155506368.0,Чемпионы
5537158.0,Чемпионы
155395407.0,Чемпионы
8486992.0,Чемпионы
156682979.0,Чемпионы
4444802.0,Чемпионы
4878620.0,Чемпионы
8871318.0,Чемпионы
8665647.0,Чемпионы
8823563.0,Чемпионы
4597472.0,Чемпионы
155275628.0,Чемпионы
3448331.0,Чемпионы
10041903.0,Чемпионы
9271451.0,Чемпионы
10327363.0,Чемпионы
155309272.0,Чемпионы
8126916.0,Чемпионы
156210099.0,Чемпионы
6036486.0,Чемпионы
7966028.0,Чемпионы
1778534.0,Чемпионы
156462125.0,Чемпионы
156529375.0,Чемпионы
5402148.0,Чемпионы
9038308.0,Чемпионы
4934053.0,Чемпионы
9304926.0,Чемпионы
5645535.0,Чемпионы
156386040.0,Чемпионы
155249828.0,Чемпионы
9458119.0,Чемпионы
6543150.0,Чемпионы
5307720.0,Чемпионы
8045466.0,Чемпионы
5772250.0,Чемпионы
5325688.0,Чемпионы
155382033.0,Чемпионы
156005450.0,Чемпионы
7162643.0,Чемпионы
155178920.0,Чемпионы
9329801.0,Чемпионы
5623678.0,Чемпионы
7757063.0,Чемпионы
8822655.0,Чемпионы
7165046.0,Чемпионы
8947909.0,Чемпионы
8204989.0,Чемпионы
8721558.0,Чемпионы
6377041.0,Чемпионы
8629676.0,Чемпионы
9476004.0,Чемпионы
6251048.0,Чемпионы
5154877.0,Чемпионы
7568596.0,Чемпионы
9710808.0,Чемпионы
9985085.0,Чемпионы
7211030.0,Чемпионы
6879208.0,Чемпионы
9901478.0,Чемпионы
7273228.0,Чемпионы
4646206.0,Чемпионы
1385294.0,Чемпионы
4765180.0,Чемпионы
6867866.0,Чемпионы
155116773.0,Чемпионы
4753972.0,Чемпионы
5837654.0,Чемпионы
2199632.0,Чемпионы
10092221.0,Чемпионы
156901156.0,Чемпионы
2333228.0,Чемпионы
6202842.0,Чемпионы
8744175.0,Чемпионы
8205854.0,Чемпионы
155510412.0,Лояльные
156525977.0,Чемпионы
5091878.0,Чемпионы
155914623.0,Чемпионы
155953370.0,Чемпионы
9564394.0,Чемпионы
156016609.0,Лояльные
2397934.0,Лояльные
9975766.0,Чемпионы
5307229.0,Чемпионы
155080222.0,Чемпионы
10442433.0,Чемпионы
6919921.0,Чемпионы
6532786.0,Чемпионы
6458970.0,Чемпионы
7922537.0,Чемпионы
4658651.0,Чемпионы
7227047.0,Чемпионы
7680291.0,Чемпионы
155041030.0,Чемпионы
7306845.0,Чемпионы
6478038.0,Чемпионы
9700281.0,Чемпионы
4728887.0,Чемпионы
5463642.0,Чемпионы
