Код клиента,XYZ
7917726.0,Z
8078693.0,Z
9696861.0,Z
9615187.0,Z
155506368.0,Z
9100589.0,Z
7744108.0,Z
8087000.0,Z
5837654.0,Z
5537158.0,Z
5753467.0,Y
9573664.0,Z
156404299.0,Z
5154877.0,Z
157444438.0,X
1778534.0,Z
6543150.0,Z
1550041.0,Z
6867866.0,Z
156386040.0,Z
4878620.0,Z
5566539.0,Z
5679090.0,Z
9150348.0,Z
156041238.0,Z
7966028.0,Z
156488695.0,Z
9329801.0,Z
156967773.0,Y
156791768.0,X
155275628.0,Z
155468717.0,Z
157434149.0,X
5520317.0,Z
8126916.0,Z
156462125.0,Z
9700281.0,Z
8045466.0,Y
7720173.0,Z
9244605.0,Z
5307720.0,Z
5569432.0,Z
156594025.0,Z
156104177.0,Z
8823563.0,Z
5823257.0,Z
6826003.0,Z
6180387.0,Z
156429649.0,Z
6748440.0,Z
5352517.0,Z
9146907.0,Z
155545696.0,Z
6104631.0,Z
8486992.0,Z
155395407.0,Z
8377852.0,Z
156886175.0,Z
7132554.0,Z
8438989.0,Z
9596041.0,Z
7814893.0,Z
156640209.0,Z
8594185.0,Z
156901156.0,Z
8362205.0,Z
7141168.0,Z
155099176.0,Z
5519429.0,Z
1385159.0,Z
157322212.0,Z
7568596.0,Z
1375599.0,Z
2969748.0,Z
7075884.0,Z
5001985.0,Z
155159957.0,Z
157379139.0,X
7165046.0,Z
4093299.0,Z
3448331.0,Z
7680291.0,Z
6177132.0,Z
155178920.0,Z
5185211.0,X
5114143.0,Z
10323192.0,Z
8516198.0,Z
156156113.0,Z
155287309.0,Z
156433434.0,Z
2333228.0,Z
157404333.0,X
9985085.0,Z
7190591.0,Z
155811904.0,Z
4444802.0,Z
7306845.0,Z
7680899.0,Z
155249828.0,Z
157351610.0,Z
4728887.0,Z
9271451.0,Z
8629676.0,Z
4597472.0,Y
5460768.0,Z
156704933.0,Y
4609438.0,Z
3949685.0,Z
5091878.0,Y
155309272.0,Z
9992311.0,Z
156682979.0,Z
156736542.0,Z
5459331.0,Z
5772250.0,Z
5766869.0,Z
156149136.0,Z
5072090.0,Z
6371449.0,Y
157381098.0,Z
155408835.0,X
7585380.0,Z
10442433.0,Z
7273228.0,Z
5325688.0,Z
157375557.0,X
10406130.0,Z
156161319.0,Z
8721793.0,Z
1385294.0,Z
5645535.0,Z
10327363.0,Z
157367530.0,X
4675582.0,Z
8044524.0,Z
1424137.0,Z
2199632.0,Z
4096610.0,Z
9476004.0,Z
9180282.0,Z
8773201.0,Z
9282611.0,Z
156292697.0,Z
8948019.0,Z
8871318.0,Z
6810682.0,Z
155195957.0,Z
7691463.0,Z
155327014.0,Z
6036486.0,Z
6119101.0,Z
157353989.0,X
6021218.0,X
6809469.0,Z
155002032.0,Z
4821817.0,Z
10041903.0,Z
156060487.0,Y
4901731.0,Z
155382033.0,Z
155385232.0,Z
155116773.0,Z
4658651.0,Z
156082679.0,Z
155283993.0,Z
7289244.0,X
157342702.0,X
9710808.0,Z
5381952.0,Z
9901478.0,Y
9304926.0,Z
8751227.0,Z
156612455.0,Z
155256249.0,Z
6626284.0,Z
157293302.0,X
3545859.0,Z
155583534.0,Z
5402148.0,Z
5476751.0,X
156210099.0,Z
10047108.0,Z
157325741.0,X
8539146.0,Z
157324545.0,X
156409790.0,Z
157323162.0,X
156808627.0,Z
157161233.0,Z
9796263.0,Z
155953370.0,Z
9458119.0,Z
7162643.0,Z
4753972.0,Z
9038308.0,Z
9776481.0,Z
155914623.0,Z
156263615.0,Z
3426866.0,Z
7670590.0,Z
1385341.0,Z
155346036.0,X
9975766.0,Z
157307421.0,X
5471875.0,X
5559100.0,Z
5236255.0,Z
8374789.0,Z
7275987.0,X
8134839.0,X
9564394.0,Z
8205854.0,Z
6478038.0,Z
9775964.0,X
4765180.0,Z
7850093.0,Z
8947909.0,Z
7922537.0,Z
5672126.0,Z
6299139.0,Z
5515493.0,Z
6312256.0,Z
7757063.0,Z
7459552.0,Z
156340359.0,Z
7720089.0,Z
155594925.0,Z
9184149.0,Z
156645841.0,Z
5565594.0,Y
155240459.0,Y
8744175.0,Z
156525977.0,Z
155160351.0,X
155809066.0,Z
5384725.0,Z
156494925.0,Z
155128328.0,X
6013816.0,Y
155228961.0,Z
157249549.0,X
8826147.0,Z
10449574.0,X
156171275.0,Z
7211030.0,Z
155509855.0,Z
8204989.0,Z
7227047.0,Z
4890504.0,Z
4893778.0,Z
7396859.0,Z
155253282.0,Z
8210314.0,Z
7479882.0,Y
5916717.0,X
8822655.0,Z
157141527.0,X
6879208.0,Z
8622977.0,Z
6103856.0,Z
6584504.0,Z
4487010.0,Z
155390742.0,Z
6532786.0,Z
5767643.0,Z
156932757.0,Z
155824673.0,X
6460859.0,Z
6251048.0,Z
8506732.0,Z
9578651.0,Z
7699622.0,Z
6458970.0,Z
7875799.0,Z
8926282.0,Z
3461908.0,Z
7668221.0,Z
8665647.0,Z
155875231.0,Z
6202842.0,Z
9920037.0,Z
156529375.0,Y
7466075.0,Z
8852350.0,Z
9802195.0,Z
4116325.0,Z
156469881.0,Z
4934053.0,Z
155317836.0,Z
8997520.0,Z
7355887.0,Z
8217927.0,X
9722136.0,Z
6729751.0,X
155762172.0,Y
157125337.0,X
157128298.0,X
1377866.0,Z
9191435.0,Y
8914513.0,Z
155187339.0,Z
6811823.0,Z
5517055.0,X
5925093.0,X
9930049.0,Z
155278258.0,Z
7954831.0,Y
155198342.0,X
3039555.0,Y
7040932.0,Z
3438355.0,Y
156521683.0,Z
7744495.0,Z
156995048.0,X
7025350.0,X
7805443.0,Y
7068650.0,X
156200951.0,Z
5198422.0,Z
5463642.0,Z
7260882.0,Z
6593087.0,Z
10389620.0,Z
155381519.0,Z
4646206.0,Z
8847132.0,Z
5693975.0,Z
7037520.0,Z
5081865.0,Z
156064994.0,Z
5307229.0,Z
9248513.0,Z
6377041.0,Z
7340977.0,Z
8089291.0,Z
8589647.0,Z
3437726.0,Y
156995257.0,X
6281795.0,Z
8873592.0,Z
4933485.0,Z
8649486.0,Z
7063163.0,Z
5623678.0,Z
8483799.0,Z
10179852.0,Z
155080222.0,Z
9026661.0,Y
156678025.0,Z
156968775.0,X
156968664.0,Z
156962965.0,Z
155614634.0,Z
155203561.0,X
4968537.0,X
155466453.0,Z
3774369.0,Z
156953119.0,X
8357190.0,X
6009710.0,Z
155915766.0,Z
9204206.0,Z
156717336.0,X
8721558.0,Z
6897583.0,Z
2762066.0,Z
155382949.0,Z
156005450.0,Z
9301534.0,Z
7240839.0,Z
9053631.0,Y
156419868.0,Y
3032795.0,Z
7431367.0,X
6893793.0,Z
4666758.0,X
4936156.0,Z
2430559.0,X
5653298.0,Z
155439587.0,X
156476611.0,Z
156067999.0,Z
6196528.0,Y
155060276.0,Y
10277492.0,X
155231682.0,Z
9752294.0,X
6919921.0,Z
156878206.0,X
10092221.0,Z
156222516.0,X
156396093.0,Z
5494009.0,X
155682484.0,X
156263526.0,Y
8110231.0,X
156848195.0,X
5792534.0,Z
155041030.0,Z
9400101.0,Z
155902190.0,Z
4810083.0,Z
7237201.0,X
7737642.0,X
7289262.0,X
9021729.0,X
5742490.0,Z
8317275.0,Z
155166687.0,Z
6560090.0,Z
156490329.0,Z
155870294.0,Y
156802112.0,X
2397934.0,Z
155462849.0,Z
156752969.0,X
6487621.0,X
9442287.0,Z
156436438.0,X
156741554.0,Z
8537354.0,Z
156575232.0,X
155908038.0,X
5935381.0,Z
156727057.0,X
156725083.0,X
7825102.0,X
6676644.0,Y
7114666.0,X
7311721.0,Z
155089937.0,X
6009249.0,X
8550030.0,X
156525883.0,Z
5687308.0,Z
155908460.0,Y
155754744.0,Z
156682407.0,X
156578822.0,Z
155950179.0,Z
156672824.0,X
156665326.0,Z
9829593.0,Z
156656591.0,Z
155277417.0,Z
5976678.0,X
9193583.0,X
4854136.0,Z
156652100.0,Z
155503548.0,X
155783979.0,X
155238949.0,Z
6990344.0,X
155427088.0,X
9592746.0,X
6294112.0,X
155210213.0,Y
156608514.0,Z
6746747.0,Z
3446062.0,Z
4754603.0,Z
1558820.0,Z
5476797.0,X
155598332.0,X
7821658.0,Y
8959205.0,Z
8385485.0,X
4738980.0,Z
8047880.0,X
155510412.0,Z
155090253.0,Z
8869441.0,X
156077948.0,X
156539787.0,X
155409530.0,X
8208015.0,Y
9837376.0,X
6754678.0,X
6635292.0,Y
10348996.0,Z
8559986.0,Y
7065701.0,Z
155181971.0,X
4861710.0,X
156488551.0,X
6221221.0,X
156481626.0,X
10136050.0,Z
7589880.0,X
4636890.0,Z
156322184.0,Y
156468543.0,X
9582557.0,X
4101976.0,X
156458394.0,Z
6618148.0,Z
9678220.0,X
5672122.0,Z
156125937.0,Z
156425859.0,Z
1378309.0,X
155778951.0,Z
156434883.0,X
156433230.0,X
156433282.0,X
10157876.0,X
10306722.0,X
156421751.0,Z
5520723.0,X
155926216.0,Z
155455851.0,Z
155002016.0,X
156400355.0,X
155499206.0,X
8608532.0,X
156392187.0,Z
156389063.0,Z
8825246.0,Z
6888131.0,X
3508118.0,Z
1516856.0,X
9942910.0,X
156329942.0,X
9458660.0,X
2434411.0,X
8657459.0,X
8173419.0,Z
8365632.0,Z
156342046.0,Z
6744857.0,X
155663548.0,Z
156335836.0,X
156330746.0,X
156329850.0,Z
1615353.0,Z
156142640.0,X
156194348.0,X
6932478.0,X
8053598.0,Z
8171009.0,Z
155856571.0,X
10336792.0,Z
156316384.0,X
156316270.0,X
155795554.0,X
156282159.0,Z
156309658.0,X
156265889.0,X
156053432.0,Z
156287133.0,X
9771132.0,X
10113911.0,X
156224886.0,X
7436971.0,X
155205530.0,X
4947327.0,X
9468675.0,Z
7566685.0,X
8090775.0,X
6046431.0,X
156172434.0,X
8332694.0,Y
1958306.0,X
156163784.0,X
156162741.0,X
155383072.0,X
5398866.0,X
156149823.0,Z
1871226.0,X
155097905.0,X
155636570.0,X
7863572.0,X
156140706.0,X
4586083.0,X
156124783.0,X
156130168.0,X
156127590.0,X
155080277.0,X
8404031.0,X
6667348.0,X
155601492.0,X
156114160.0,X
156041291.0,X
155678114.0,X
7033676.0,X
8302470.0,Z
155331818.0,X
7780665.0,X
2513414.0,X
155276276.0,X
155789198.0,X
155389332.0,X
156029677.0,Z
156050953.0,X
156052219.0,X
5581849.0,X
6369197.0,Z
10254577.0,Z
155268666.0,Z
5598565.0,X
2075002.0,X
10404218.0,Z
7235380.0,X
156027184.0,X
156027145.0,X
8236391.0,X
156016609.0,X
7533768.0,X
156009184.0,X
155975141.0,Z
